period,respondent,Day-ahead demand forecast,Demand
2026-06-08 19:00:00-04:00,SOCO,,35085.0
2026-06-08 20:00:00-04:00,SOCO,34091.0,34091.0
2026-06-08 21:00:00-04:00,SOCO,33099.0,33099.0
2026-06-08 22:00:00-04:00,SOCO,32226.0,32226.0
2026-06-08 23:00:00-04:00,SOCO,30487.0,30487.0
2026-06-09 00:00:00-04:00,SOCO,28380.0,28380.0
2026-06-09 01:00:00-04:00,SOCO,26377.0,26377.0
2026-06-11 02:00:00-04:00,SOCO,26377.0,27439.0
2026-06-11 03:00:00-04:00,SOCO,26377.0,26166.0
2026-06-11 04:00:00-04:00,SOCO,26377.0,26166.0
2026-06-12 02:00:00-04:00,SOCO,26377.0,27439.0
2026-06-12 03:00:00-04:00,SOCO,26377.0,26166.0
