period,respondent,respondent-name,type,type-name
2026-06-12T07,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-12T06,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-11T08,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-11T07,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-11T06,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-09T05,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-09T05,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-09T05,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-09T04,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-09T04,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-09T04,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-09T03,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-09T03,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-09T03,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-09T02,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-09T02,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-09T02,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-09T01,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-09T01,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-09T01,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-09T00,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-09T00,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-09T00,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-08T23,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-08T23,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
2026-06-08T23,SOCO,"Southern Company Services, Inc. - Trans",NG,Net generation
2026-06-08T22,SOCO,"Southern Company Services, Inc. - Trans",D,Demand
2026-06-08T22,SOCO,"Southern Company Services, Inc. - Trans",DF,Day-ahead demand forecast
